onlyID	kingdom	phylum	class	order	family	genus	species
00001	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira	Leptospira alexanderi
00002	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira	Leptospira weilii
00003	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira	Leptospira weilii
00004	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium rhizosphaerae
00005	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium gallinarum
00006	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium indologenes
00007	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium artocarpi/Chryseobacterium ureilyticum
00008	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium sp000829375/Chryseobacterium jejuense
00009	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium timonianum
00010	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium contaminans
00011	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium indologenes
00012	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium arthrosphaerae
00013	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium sp000799335/Chryseobacterium rhizoplanae
00014	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium sp000799235
00015	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium indologenes/Chryseobacterium cucumeris/Chryseobacterium sp000745535
00016	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium aquifrigidense
